属性,数值,关联材料,条件,原文片段,段落来源,DOI,标题
Ionic_Conductivity,0.0315 mS/cm,PPZ-8,90°C | GF-PPZ-8 liquid polymer electrolyte | electrochemical impedance spectroscopy,the sigma of GF-PPZ-8 ... 3.15 × 10⁻⁵ S cm⁻¹,"In addition, the lithium-ion transference number t showed a tLipositive correlation with the lithium salt content. Specifically, at 90 circ mathrm C iota , GF-PPZ-8 reached the largest t of 0.38, and ",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Ionic_Conductivity,0.402 mS/cm,PPZ-16,90°C | GF-PPZ-16 liquid polymer electrolyte | electrochemical impedance spectroscopy,the sigma of GF-PPZ-16 reached 4.02 × 10⁻⁴ S cm⁻¹,"In addition, the lithium-ion transference number t showed a tLipositive correlation with the lithium salt content. Specifically, at 90 circ mathrm C iota , GF-PPZ-8 reached the largest t of 0.38, and ",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Ionic_Conductivity,0.157 mS/cm,PPZ-24,90°C | GF-PPZ-24 liquid polymer electrolyte | electrochemical impedance spectroscopy,GF-PPZ-24 ... 1.57 × 10⁻⁴ S cm⁻¹,"In addition, the lithium-ion transference number t showed a tLipositive correlation with the lithium salt content. Specifically, at 90 circ mathrm C iota , GF-PPZ-8 reached the largest t of 0.38, and ",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Ionic_Conductivity,0.0864 mS/cm,PPZ-40,90°C | GF-PPZ-40 liquid polymer electrolyte | electrochemical impedance spectroscopy,GF-PPZ-40 ... 8.64 × 10⁻⁵ S cm⁻¹,"In addition, the lithium-ion transference number t showed a tLipositive correlation with the lithium salt content. Specifically, at 90 circ mathrm C iota , GF-PPZ-8 reached the largest t of 0.38, and ",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Voltage_Hysteresis,1.8 V,,90°C | galvanostatic plating/stripping | symmetric_cell,the cell with the LE showed rapidly increasing overpotentials over 1.8 V after 160 h and finally fai,"Interestingly, the LPEs also exhibited excellent inhibition of lithium dendrite formation. The galvanostatic cycling tests demonstrated low Li plating/stripping overpotentials at 90 circ mathrm C in L",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Rate_Capability,128 mAh/g,PPZ-16,50°C | 0.5 C | LFP/GF-PPZ-16/Li (PPZ-16 liquid polymer electrolyt | galvanostatic charge-discharge | LFP//Li coin cell,128 mAh g-1 at 50 °C,"The electrochemical performance of an LPE-based Li metal full battery was investigated. First, the charge-discharge capacities of LFP//Li coin cells with various LPEs and a GF separator, i.e., LFP/GF-",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Rate_Capability,152 mAh/g,PPZ-16,60°C | 0.5 C | LFP/GF-PPZ-16/Li (PPZ-16 liquid polymer electrolyt | galvanostatic charge-discharge | LFP//Li coin cell,152 mAh g-1 at 60 °C,"The electrochemical performance of an LPE-based Li metal full battery was investigated. First, the charge-discharge capacities of LFP//Li coin cells with various LPEs and a GF separator, i.e., LFP/GF-",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Rate_Capability,158 mAh/g,PPZ-16,90°C | 0.5 C | LFP/GF-PPZ-16/Li (PPZ-16 liquid polymer electrolyt | galvanostatic charge-discharge | LFP//Li coin cell,158 mAh g-1 at 90 °C,"The electrochemical performance of an LPE-based Li metal full battery was investigated. First, the charge-discharge capacities of LFP//Li coin cells with various LPEs and a GF separator, i.e., LFP/GF-",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Rate_Capability,48 mAh/g,PPZ-24,30°C | 0.5 C | LFP/GF-PPZ-24/Li (PPZ-24 liquid polymer electrolyt | galvanostatic charge-discharge | LFP//Li coin cell,48 mAh g-1 at 30 °C,"The electrochemical performance of an LPE-based Li metal full battery was investigated. First, the charge-discharge capacities of LFP//Li coin cells with various LPEs and a GF separator, i.e., LFP/GF-",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Rate_Capability,95 mAh/g,PPZ-24,40°C | 0.5 C | LFP/GF-PPZ-24/Li (PPZ-24 liquid polymer electrolyt | galvanostatic charge-discharge | LFP//Li coin cell,95 mAh g-1 at 40 °C,"The electrochemical performance of an LPE-based Li metal full battery was investigated. First, the charge-discharge capacities of LFP//Li coin cells with various LPEs and a GF separator, i.e., LFP/GF-",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Rate_Capability,"[160.6, 160.3, 160.0, 159.4, 158.2, 152.6] mAh/g",PPZ-16,"90°C | 0.1, 0.2, 0.3, 0.5, 1, 2 C | PPZ-16 liquid polymer electrolyte (LiTFSI in PPZ,  | rate capability test (galvanostatic char | LFP//Li coin cell",14483 the LFP/GF-PPZ-16/Li cell exhibited excellent rate performance with large and reversible capac,The reversibility and activity of the electrochemical reactions occurring in the different LPE-based LFP//Li cells were evaluated by cyclic voltammetry CV Fig. 4e and Supplementary Fig. 21. The oxidat,10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Voltage_Hysteresis,0.67 V,PPZ-16,"PPZ-16 liquid polymer electrolyte (LiTFSI in PPZ,  | cyclic voltammetry | LFP//Li coin cell","The oxidation and reduction peak potentials of all cells were approximately 3.75 and 3.08 V, respect",The reversibility and activity of the electrochemical reactions occurring in the different LPE-based LFP//Li cells were evaluated by cyclic voltammetry CV Fig. 4e and Supplementary Fig. 21. The oxidat,10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Coulombic_Efficiency,100.0 %,,90°C | 0.5 C | LPE-based electrolytes with different separators o | galvanostatic charge-discharge (long cyc | LFP//Li,they exhibited average coulombic efficiencies CE of approximately 100% Fig. 4g and Supplementary Fig,"The LPE-based LFP//Li cells with different separators or lithium salts were cycled at 90 circ mathrm C and at 0.5C for long times, and they exhibited average coulombic efficiencies CE of approximately",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Coulombic_Efficiency,99.9 %,PPZ-16,60°C | 0.5 C | LFP/GF-PPZ-16/Li (PPZ-16 liquid polymer electrolyt | galvanostatic charge-discharge | LFP//Li coin cell,with an average CE of over 99.9% for 1000 cycles run at 0.5C at 60 °C Fig. 4h,"The LPE-based LFP//Li cells with different separators or lithium salts were cycled at 90 circ mathrm C and at 0.5C for long times, and they exhibited average coulombic efficiencies CE of approximately",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Capacity_Retention,77.5 %,PPZ-16,60°C | 0.5 C | LFP/GF-PPZ-16/Li (PPZ-16 liquid polymer electrolyt | galvanostatic charge-discharge | LFP//Li coin cell,delivered initial discharge specific capacity of up to 160 mAh g-1 and a retained discharge capacity,"The LPE-based LFP//Li cells with different separators or lithium salts were cycled at 90 circ mathrm C and at 0.5C for long times, and they exhibited average coulombic efficiencies CE of approximately",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Rate_Capability,[160] mAh/g,PPZ-16,60°C | 0.5 C | LFP/GF-PPZ-16/Li (PPZ-16 liquid polymer electrolyt | galvanostatic charge-discharge | LFP//Li coin cell,the LFP/GF-PPZ-16/Li cell delivered initial discharge specific capacity of up to 160 mAh g-1,"The LPE-based LFP//Li cells with different separators or lithium salts were cycled at 90 circ mathrm C and at 0.5C for long times, and they exhibited average coulombic efficiencies CE of approximately",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Rate_Capability,[157] mAh/g,PPZ-16,"90°C | 1 C | PPZ-16 liquid polymer electrolyte (LiTFSI in PPZ,  | long-cycle performance | LFP//Li coin cell",initial discharge specific capacity of 157 mAh g-1,"These LBs can be charged and discharged normally at high temperatures, and this is of great significance in expanding their applicability and ensuring their safety during service48. Due to the excelle",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Rate_Capability,[160] mAh/g,PPZ-16,"120°C | 2 C | PPZ-16 liquid polymer electrolyte (LiTFSI in PPZ,  | long-cycle performance | LFP//Li coin cell",high initial capacity of 160 mAh g-1,"These LBs can be charged and discharged normally at high temperatures, and this is of great significance in expanding their applicability and ensuring their safety during service48. Due to the excelle",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Capacity_Retention,62.4 %,PPZ-16,"90°C | 1 C | PPZ-16 liquid polymer electrolyte (LiTFSI in PPZ,  | long-cycle performance | LFP//Li coin cell","an initial discharge specific capacity of 157 mAh g-1, a retained discharge capacity of 98 mAh g-1 a","These LBs can be charged and discharged normally at high temperatures, and this is of great significance in expanding their applicability and ensuring their safety during service48. Due to the excelle",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Capacity_Retention,95.9 %,PPZ-16,"120°C | 2 C | PPZ-16 liquid polymer electrolyte (LiTFSI in PPZ,  | long-cycle performance | LFP//Li coin cell",capacity retention of 95.9% with an average CE above 99.2% over 100 cycles run at 2C and 120 °C,"These LBs can be charged and discharged normally at high temperatures, and this is of great significance in expanding their applicability and ensuring their safety during service48. Due to the excelle",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Coulombic_Efficiency,99.6 %,PPZ-16,"90°C | 1 C | PPZ-16 liquid polymer electrolyte (LiTFSI in PPZ,  | long-cycle performance | LFP//Li coin cell",average CE above 99.6% were obtained for the LFP/GF-PPZ-16/Li cell operated at 1C at 90 °C,"These LBs can be charged and discharged normally at high temperatures, and this is of great significance in expanding their applicability and ensuring their safety during service48. Due to the excelle",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Coulombic_Efficiency,99.2 %,PPZ-16,"120°C | 2 C | PPZ-16 liquid polymer electrolyte (LiTFSI in PPZ,  | long-cycle performance | LFP//Li coin cell",average CE above 99.2% over 100 cycles run at 2C and 120 °C,"These LBs can be charged and discharged normally at high temperatures, and this is of great significance in expanding their applicability and ensuring their safety during service48. Due to the excelle",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Coulombic_Efficiency,100.0 %,"PPZ-16, PPZ-24",60°C | 0.5 C | PPZ-16 and PPZ-24 liquid polymer electrolytes with | long-cycle performance | NCM811//Li coin cell,two LPE-based LMBs ... cycled steadily over 100 times at 0.5C and showed an average CE of approximat,"These LBs can be charged and discharged normally at high temperatures, and this is of great significance in expanding their applicability and ensuring their safety during service48. Due to the excelle",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Self_Heating_Onset_Temperature,190.5 °C,PPZ-16,LPE-based coin cell (likely GF-PPZ-16) | accelerating rate calorimetry (ARC),"The T of the LPE-based cell was 190.5 °C, which was 50 °C higher than that of the LE-based cell.","Due to the good thermotolerance and superior flame retardance of the LPEs, an accelerating rate calorimeter ARC was used to study the thermal runaway behavior of LPE-based and LE-based coin cells Fig.",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Self_Heating_Onset_Temperature,140.5 °C,LE,LE-based coin cell (likely 1M LiPF6 DMC/EMC/EC) | accelerating rate calorimetry (ARC),50 °C higher than that of the LE-based cell,"Due to the good thermotolerance and superior flame retardance of the LPEs, an accelerating rate calorimeter ARC was used to study the thermal runaway behavior of LPE-based and LE-based coin cells Fig.",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Maximum_Thermal_Runaway_Temperature,414.5 °C,LE,LE-based coin cell (likely 1M LiPF6 DMC/EMC/EC) | accelerating rate calorimetry (ARC),"the LE-based cell reached a heating rate of 10 °C min-1 at 414.5 °C, and unsurprisingly, thermal run","Due to the good thermotolerance and superior flame retardance of the LPEs, an accelerating rate calorimeter ARC was used to study the thermal runaway behavior of LPE-based and LE-based coin cells Fig.",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Rate_Capability,[140] mAh/g,PPZ-16,90°C | 0.2 C | LPECM-PPZ-16 (PPZ-16 liquid polymer electrolyte wi | galvanostatic charge-discharge | LFP//Li pouch cell,the discharge specific capacity of the LFP/LPECM-PPZ-16/Li pouch cell was greater than 140 mAh g-1 w,"To verify the practical commercial application potential of the LPEs, pouch cells were fabricated for testing cycling performance and safety in harsh environments. As shown in Fig. 6b and Supplementar",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Coulombic_Efficiency,99.2 %,PPZ-16,90°C | 0.2 C | LPECM-PPZ-16 (PPZ-16 liquid polymer electrolyte wi | galvanostatic charge-discharge | LFP//Li pouch cell,its average coulombic efficiency exceeded 99.2%,"To verify the practical commercial application potential of the LPEs, pouch cells were fabricated for testing cycling performance and safety in harsh environments. As shown in Fig. 6b and Supplementar",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Operating_Temperature_Range,"{'min': 30, 'max': 210} °C","PPZ-16, LE",LPECM-PPZ-16 pouch cell | thermal abuse test with LED load,The red LED was continuously lit from 30 to 210 circ mathrm C with a stable operating voltage,"To verify the practical commercial application potential of the LPEs, pouch cells were fabricated for testing cycling performance and safety in harsh environments. As shown in Fig. 6b and Supplementar",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Operating_Temperature_Range,"{'min': 60, 'max': 120} °C",,,delivers high performance over a wide temperature range 60–120 °C,"In summary, a nonflammable solvent-free LPE was developed for highperformance and safe Li metal batteries. Due to a room-temperature liquid-state brush-like polymer consisting of a polyphosphazene bac",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
Cycle_Life_80,2200 h,,90°C | test in vacuum environment,enables Li plating/stripping for more than 2200 h,"In summary, a nonflammable solvent-free LPE was developed for highperformance and safe Li metal batteries. Due to a room-temperature liquid-state brush-like polymer consisting of a polyphosphazene bac",10.1038/s41467-023-40394-8,Non-flammable solvent-free liquid polymer electrolyte for lithium metal batterie
