属性,数值,关联材料,条件,原文片段,段落来源,DOI,标题
Rate_Capability,[252] mAh/g,,0.8 M KPF6 based electrolytes | galvanostatic charge/discharge,displayed a capacity of 252mathrmmAhg-1mathrmSe after 350 cycles at 0.5mathrmC with average discharg,"Subsequently, it was proved that the Se cathode experienced a two-step reduction mechanism by Yu and coworkers in 0.7mathrmM mathrmKPF6 based ester electrolyte.142 As shown in Figure 15A, in situ Rama",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Ionic_Conductivity,2.089e-05 S/cm,,moderate-concentration KFSI in TMP | cycling | half_cell,Jyothi et al. demonstrated polyacrylonitrile PAN/potassium iodide KI GPE with conductivity of 2.089 ,GPE has also been investigated with growing interest because of combinative of liquid and solid-state electrolytes. Jyothi et al. demonstrated polyacrylonitrile PAN/potassium iodide KI GPE with conduc,10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Ionic_Conductivity,0.0043 S/cm,,0.8 M KPF6 based electrolytes | galvanostatic charge/discharge,The GPE with high conductivity of 4.3 times 10-3 mathrmS mathrmcm-1 realized reversible plating/stri,GPE has also been investigated with growing interest because of combinative of liquid and solid-state electrolytes. Jyothi et al. demonstrated polyacrylonitrile PAN/potassium iodide KI GPE with conduc,10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Anodic_Stability_Onset_Potential,>4.9 V vs. K/K+,,10.0 A/g | unique 1 M KCF3SO3 based DEGDME electrolyte,"Moreover, the strong oxidation resistance over 4.9 mathrmV is conducive to match with high-voltage c",GPE has also been investigated with growing interest because of combinative of liquid and solid-state electrolytes. Jyothi et al. demonstrated polyacrylonitrile PAN/potassium iodide KI GPE with conduc,10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Rate_Capability,"[{'current_density': '10 mA/g', 'capacity': 138}] mAh/g",,high concentrated KFSI/EMC | galvanostatic cycling,The Kpolyaniline cell with PMMA exhibited nearly the same discharge capacity 138 mathrmmAh mathrmg-1,GPE has also been investigated with growing interest because of combinative of liquid and solid-state electrolytes. Jyothi et al. demonstrated polyacrylonitrile PAN/potassium iodide KI GPE with conduc,10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
SEI_Resistance,Ω,,moderate-concentration KFSI in TMP | cycling | half_cell,"the SEI in KTFSI base electrolyte had low mathrmK conductivity, increasing K plating/stripping overp","However, the three-electrode measurement showed the SEI in KTFSI base electrolyte had low mathrmK conductivity, increasing K plating/stripping overpotential. Wu et al. developed a modified SEI in KFSI",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Voltage_Hysteresis,V,,moderate-concentration KFSI in TMP | cycling | half_cell,Wu et al. developed a modified SEI in KFSI-DME electrolyte for K metal anode.149 The modified K anod,"However, the three-electrode measurement showed the SEI in KTFSI base electrolyte had low mathrmK conductivity, increasing K plating/stripping overpotential. Wu et al. developed a modified SEI in KFSI",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Cycle_Life_80,cycles,,moderate-concentration KFSI in TMP | cycling | half_cell,doubled the cycle life of mathrmK - O2 batteries in KTFSI based electrolyte,"However, the three-electrode measurement showed the SEI in KTFSI base electrolyte had low mathrmK conductivity, increasing K plating/stripping overpotential. Wu et al. developed a modified SEI in KFSI",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Cycle_Life_80,cycles,,moderate-concentration KFSI in TMP | cycling | half_cell,"Lu et al. exploited a strong electron-donating DMSO solvent to stabilize superoxide, resulting in si","However, the three-electrode measurement showed the SEI in KTFSI base electrolyte had low mathrmK conductivity, increasing K plating/stripping overpotential. Wu et al. developed a modified SEI in KFSI",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Ionic_Conductivity,0.00119 S/cm,,moderate-concentration KFSI in TMP | cycling | half_cell,showed ion conductivity of 1.19 times 10-3 S cm -1 at 800circmathrmC,"NASICON mathrmNa1 xZr2P3 - xSixO120 x 3 structure was built by mathrmSi,mathrmPmathrmO4 tetrahedra and mathrmZrO6 octahedra, and it provided a 3D open network for mathrmNa 176 mathrmNa3mathrmZr2mathrm",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Ionic_Conductivity,2.2e-05 S/cm,,0.8 M KPF6 based electrolytes | galvanostatic charge/discharge,2.2 times 10-5 mathrmS mathrmcm-1 at 27circ mathrmC by high-throughput computational method,"NASICON mathrmNa1 xZr2P3 - xSixO120 x 3 structure was built by mathrmSi,mathrmPmathrmO4 tetrahedra and mathrmZrO6 octahedra, and it provided a 3D open network for mathrmNa 176 mathrmNa3mathrmZr2mathrm",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Ionic_Conductivity,2.0 mS/cm,,moderate-concentration KFSI in TMP | cycling | half_cell,The discovered PEO/KAg4I5 displayed ionic conductivity of 2×10⁻³ S cm⁻¹ at room temperature,"In the previous chapters, the recent progress of widely applied organic electrolytes has been reviewed. However, the high flammability and volatility of organic electrolytes raises the safety concern ",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Ionic_Conductivity,0.0005 mS/cm,,0.8 M KPF6 based electrolytes | galvanostatic charge/discharge,It displayed maximal σ = 5.0×10⁻⁷ at 30 wt% of salt KBr,"In the previous chapters, the recent progress of widely applied organic electrolytes has been reviewed. However, the high flammability and volatility of organic electrolytes raises the safety concern ",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Ionic_Conductivity,0.000274 mS/cm,,10.0 A/g | unique 1 M KCF3SO3 based DEGDME electrolyte,it delivered a conductivity of 2.74×10⁻⁷ S cm⁻¹ at RT,"In the previous chapters, the recent progress of widely applied organic electrolytes has been reviewed. However, the high flammability and volatility of organic electrolytes raises the safety concern ",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Ionic_Conductivity,0.0136 mS/cm,,high concentrated KFSI/EMC | galvanostatic cycling,PPC/KFSI showed maximal ionic conductivity of 1.36×10⁻⁵ S cm⁻¹ at 20°C with 18 wt% KFSI,"In the previous chapters, the recent progress of widely applied organic electrolytes has been reviewed. However, the high flammability and volatility of organic electrolytes raises the safety concern ",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Li_Transport_Activation_Energy_SEI,0.16 eV,,moderate-concentration KFSI in TMP | cycling | half_cell,with a low activation energy of 0.16 eV,"In the previous chapters, the recent progress of widely applied organic electrolytes has been reviewed. However, the high flammability and volatility of organic electrolytes raises the safety concern ",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Rate_Capability,"[{'rate': '10 mA g⁻¹', 'capacity': 118}] mAh/g",Moderately concentrated KFSI in TEP,Moderately concentrated KFSI in TEP | galvanostatic plating/stripping | half_cell,The all-solid-state battery delivered a high capacity of 118 mAh g⁻¹ for the first cycle at 10 mA g⁻,"In the previous chapters, the recent progress of widely applied organic electrolytes has been reviewed. However, the high flammability and volatility of organic electrolytes raises the safety concern ",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,89 %,,moderate-concentration KFSI in TMP | cycling | half_cell,with high retaining rate approx 89%,"K metal anode received extensive attention as anode for high-capacity KMBs. However, the ultrahigh reactivity resulting unstable SEI film, dendrites growth, and huge volume change severely constrain i",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Coulombic_Efficiency,99.9 %,,moderate-concentration KFSI in TMP | cycling | half_cell,CE approx 99.9%,"K metal anode received extensive attention as anode for high-capacity KMBs. However, the ultrahigh reactivity resulting unstable SEI film, dendrites growth, and huge volume change severely constrain i",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Ionic_Conductivity,13.1 mS/cm,,10.0 A/g | unique 1 M KCF3SO3 based DEGDME electrolyte,high ionic conductivity of 13.1 mS cm-1 at 22,"K metal anode received extensive attention as anode for high-capacity KMBs. However, the ultrahigh reactivity resulting unstable SEI film, dendrites growth, and huge volume change severely constrain i",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Electrochemical_Stability_Window,{'max_V': 5.0} V vs. K/K+,,,the KFSI/DME electrolyte showed wide voltage stability window over 5V,"K metal anode received extensive attention as anode for high-capacity KMBs. However, the ultrahigh reactivity resulting unstable SEI film, dendrites growth, and huge volume change severely constrain i",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Rate_Capability,[] mAh/g,,0.8 M KPF6 based electrolytes | galvanostatic charge/discharge,The K-S batteries showed excellent rate performance with retention rate of 75% at 1.2C compared to t,"Compared with PEs, ISEs generally possess high ionic conductivities 0.1mathrmmScm-1 at RT, high mechanical modulus 1 GPa for oxides, wide excellent thermal/electrochemical stability windows 4.0mathrmV",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Ionic_Conductivity,0.056 mS/cm,,,The conductivity of K-BASE was approx 0.056 at 300°C Figure 18A.,"Compared with PEs, ISEs generally possess high ionic conductivities 0.1mathrmmScm-1 at RT, high mechanical modulus 1 GPa for oxides, wide excellent thermal/electrochemical stability windows 4.0mathrmV",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Li_Desolvation_Activation_Energy,eV,,,"TABLE DATA BLOCK
Headers: Ion; Desolvation energy (kJ mol-1)
Rows:
Row 1: DEC; PC; EMC; FEC; VC; TMP","TABLE DATA BLOCK
Headers: Ion; Desolvation energy (kJ mol-1)
Rows:
Row 1: DEC; PC; EMC; FEC; VC; TMP; BC; DMF
Row 2: Li+; 205.6; 215.8; 199.1; 188.8; 191.4; 249.1; 219.5; 230.1
Row 3: Na+; 147.9; 158.",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Ionic_Conductivity,0.15 mS/cm,,0.8 M KPF6 based electrolytes | galvanostatic charge/discharge,about 1.5times 10-4mathrmScm-1 at 400circmathrmC,"In addition, various ISEs with suitable 1D, 2D, or 3D channels, where mathrmK charge carrier ions could move quickly along, have been studied. mathrmK3mathrmSb4mathrmO10mathrmBO3 compound with 1D math",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Ionic_Conductivity,50 mS/cm,,10.0 A/g | unique 1 M KCF3SO3 based DEGDME electrolyte,5.0times 10-2mathrmScm-1 at RT,"In addition, various ISEs with suitable 1D, 2D, or 3D channels, where mathrmK charge carrier ions could move quickly along, have been studied. mathrmK3mathrmSb4mathrmO10mathrmBO3 compound with 1D math",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Ionic_Conductivity,40 mS/cm,1 M KBF4 in EC/EMC,1 M KBF4 in EC/EMC,40mathrmmScm-1 at 300circmathrmC,"In addition, various ISEs with suitable 1D, 2D, or 3D channels, where mathrmK charge carrier ions could move quickly along, have been studied. mathrmK3mathrmSb4mathrmO10mathrmBO3 compound with 1D math",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Electrochemical_Stability_Window,{'max_V': 5} V vs. K/K⁺,,high concentrated KFSI/EMC | galvanostatic cycling,wide working voltage 5 V vs. mathrmK / K,"In addition, various ISEs with suitable 1D, 2D, or 3D channels, where mathrmK charge carrier ions could move quickly along, have been studied. mathrmK3mathrmSb4mathrmO10mathrmBO3 compound with 1D math",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,78 %,Moderately concentrated KFSI in TEP,Moderately concentrated KFSI in TEP | galvanostatic plating/stripping | half_cell,retention rate of 78%,"In addition, various ISEs with suitable 1D, 2D, or 3D channels, where mathrmK charge carrier ions could move quickly along, have been studied. mathrmK3mathrmSb4mathrmO10mathrmBO3 compound with 1D math",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Coulombic_Efficiency,86.96 %,,moderate-concentration KFSI in TMP | cycling | half_cell,initial CE of 86.96%,"The continuous dissolution, relocation, and shuttle of polysulfides lead to the low utilization rate of active materials and passivation of positive/negative electrodes, which further result in rapid ",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Coulombic_Efficiency,99.0 %,,electrolyte containing FEC (unspecified base) | K/Sn3P4 half cells,CEs up to 99%,"The continuous dissolution, relocation, and shuttle of polysulfides lead to the low utilization rate of active materials and passivation of positive/negative electrodes, which further result in rapid ",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Rate_Capability,[100] %,,"KClO4 salt based electrolyte, low concentration",second cycle capacity at 0.1 C (reference for rate retention),"The continuous dissolution, relocation, and shuttle of polysulfides lead to the low utilization rate of active materials and passivation of positive/negative electrodes, which further result in rapid ",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Rate_Capability,[89] %,,KPF6 based EC/DEC electrolytes,maintained capacity of 89% at 0.2 C compared to the second cycle capacity at 0.1 C,"The continuous dissolution, relocation, and shuttle of polysulfides lead to the low utilization rate of active materials and passivation of positive/negative electrodes, which further result in rapid ",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Rate_Capability,[673] mAh cm-3,,2 vol% FEC additive based electrolyte | K half cells (Prussian blue an,"Even at 10 C, it still could deliver a capacity of 673 mAh cm-3","The continuous dissolution, relocation, and shuttle of polysulfides lead to the low utilization rate of active materials and passivation of positive/negative electrodes, which further result in rapid ",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,78.4 %,,moderate-concentration KFSI in TMP | cycling | half_cell,"78.4% after 10,000 cycles (20 C)","TABLE DATA BLOCK
Headers: Electrode; Electrolyte; Capacity retention (mAh g-1); Voltage window (V); Ref.
Rows:
Row 1: Electrode = KTiOPO4; Electrolyte = 0.8 M KPF6in EC/DEC = 1; Capacity retention (mA",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,>90 %,,0.8 M KPF6 based electrolytes | galvanostatic charge/discharge,>90% after 800 cycles (1 A g-1),"TABLE DATA BLOCK
Headers: Electrode; Electrolyte; Capacity retention (mAh g-1); Voltage window (V); Ref.
Rows:
Row 1: Electrode = KTiOPO4; Electrolyte = 0.8 M KPF6in EC/DEC = 1; Capacity retention (mA",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,69.0 %,,10.0 A/g | unique 1 M KCF3SO3 based DEGDME electrolyte,69% after 5000 cycles (2 A g-1),"TABLE DATA BLOCK
Headers: Electrode; Electrolyte; Capacity retention (mAh g-1); Voltage window (V); Ref.
Rows:
Row 1: Electrode = KTiOPO4; Electrolyte = 0.8 M KPF6in EC/DEC = 1; Capacity retention (mA",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,75.6 %,,high concentrated KFSI/EMC | galvanostatic cycling,75.6% after 6000 cycles (5 A g-1),"TABLE DATA BLOCK
Headers: Electrode; Electrolyte; Capacity retention (mAh g-1); Voltage window (V); Ref.
Rows:
Row 1: Electrode = KTiOPO4; Electrolyte = 0.8 M KPF6in EC/DEC = 1; Capacity retention (mA",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,67.7 %,Moderately concentrated KFSI in TEP,Moderately concentrated KFSI in TEP | galvanostatic plating/stripping | half_cell,67.7% after 2000 cycles (10A g-1),"TABLE DATA BLOCK
Headers: Electrode; Electrolyte; Capacity retention (mAh g-1); Voltage window (V); Ref.
Rows:
Row 1: Electrode = KTiOPO4; Electrolyte = 0.8 M KPF6in EC/DEC = 1; Capacity retention (mA",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,74.3 %,1 M KBF4 in EC/EMC,1 M KBF4 in EC/EMC,74.3% after 2800 cycles (100 mA g-1),"TABLE DATA BLOCK
Headers: Electrode; Electrolyte; Capacity retention (mAh g-1); Voltage window (V); Ref.
Rows:
Row 1: Electrode = KTiOPO4; Electrolyte = 0.8 M KPF6in EC/DEC = 1; Capacity retention (mA",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,95.4 %,,"KClO4 salt based electrolyte, low concentration",95.4% after 200 cycles (200 mA g-1),"TABLE DATA BLOCK
Headers: Electrode; Electrolyte; Capacity retention (mAh g-1); Voltage window (V); Ref.
Rows:
Row 1: Electrode = KTiOPO4; Electrolyte = 0.8 M KPF6in EC/DEC = 1; Capacity retention (mA",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,72.5 %,,KPF6 based EC/DEC electrolytes,72.5% after 600 cycles (1 A g-1),"TABLE DATA BLOCK
Headers: Electrode; Electrolyte; Capacity retention (mAh g-1); Voltage window (V); Ref.
Rows:
Row 1: Electrode = KTiOPO4; Electrolyte = 0.8 M KPF6in EC/DEC = 1; Capacity retention (mA",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,83.0 %,,2 vol% FEC additive based electrolyte | K half cells (Prussian blue an,83% after 1000 cycles (500 mA g-1),"TABLE DATA BLOCK
Headers: Electrode; Electrolyte; Capacity retention (mAh g-1); Voltage window (V); Ref.
Rows:
Row 1: Electrode = KTiOPO4; Electrolyte = 0.8 M KPF6in EC/DEC = 1; Capacity retention (mA",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,70.4 %,,electrolyte containing FEC (unspecified base) | K/Sn3P4 half cells,70.4% after 200 cycles (120 mA g-1),"TABLE DATA BLOCK
Headers: Electrode; Electrolyte; Capacity retention (mAh g-1); Voltage window (V); Ref.
Rows:
Row 1: Electrode = KTiOPO4; Electrolyte = 0.8 M KPF6in EC/DEC = 1; Capacity retention (mA",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,74.0 %,1.0 M KFSI in TMP,1.0 M KFSI in TMP with DTD additive | half_cell,74% after 400 cycles (100 mA g-1),"TABLE DATA BLOCK
Headers: Electrode; Electrolyte; Capacity retention (mAh g-1); Voltage window (V); Ref.
Rows:
Row 1: Electrode = KTiOPO4; Electrolyte = 0.8 M KPF6in EC/DEC = 1; Capacity retention (mA",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,80.0 %,,molten KF | graphite electrode,80% after 7800 cycles (500 mA g-1),"TABLE DATA BLOCK
Headers: Electrode; Electrolyte; Capacity retention (mAh g-1); Voltage window (V); Ref.
Rows:
Row 1: Electrode = KTiOPO4; Electrolyte = 0.8 M KPF6in EC/DEC = 1; Capacity retention (mA",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,86.0 %,0.5 M KPF6 in DME,0.5 M KPF6 in DME | K-O2 battery,86% after 300 cycles (1 C),"TABLE DATA BLOCK
Headers: Electrode; Electrolyte; Capacity retention (mAh g-1); Voltage window (V); Ref.
Rows:
Row 1: Electrode = KTiOPO4; Electrolyte = 0.8 M KPF6in EC/DEC = 1; Capacity retention (mA",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
Capacity_Retention,83.0 %,,EC/DEC electrolyte | graphite electrode,83% after 300 cycles (C/3),"TABLE DATA BLOCK
Headers: Electrode; Electrolyte; Capacity retention (mAh g-1); Voltage window (V); Ref.
Rows:
Row 1: Electrode = KTiOPO4; Electrolyte = 0.8 M KPF6in EC/DEC = 1; Capacity retention (mA",10.1002/EXP.20210239,Electrolyte formulation strategies for potassium-based batteries
